	BC	CU	CC	GC	IC	KC	LFC	LU	MC	RC	SNC
BC	0	60	156	255	255	170	90	157	183	125	190
CU	60	0	219	312	309	225	77	117	239	90	34
CC	156	219	0	90	215	125	226	264	116	235	290
GC	255	312	90	0	270	175	305	362	166	330	383
IC	255	309	215	270	0	122	262	405	106	370	431
KC	170	225	125	175	122	0	215	320	17	287	341
LFC	90	77	226	305	262	215	0	168	230	145	175
LU	157	117	264	362	405	320	168	0	335	40	25
MC	183	239	116	166	106	17	230	335	0	300	356
RC	125	90	235	330	370	287	145	40	300	0	65
SNC	190	134	290	383	431	341	175	25	356	65	0
